ID,"class"
287,democrat
90,democrat
201,democrat
133,democrat
336,democrat
76,democrat
281,democrat
53,democrat
11,democrat
307,democrat
72,democrat
118,democrat
260,democrat
249,democrat
351,democrat
228,democrat
209,democrat
70,democrat
238,democrat
156,democrat
197,democrat
295,democrat
245,democrat
285,democrat
407,democrat
155,democrat
62,democrat
294,democrat
385,democrat
314,democrat
302,democrat
435,democrat
370,democrat
321,democrat
328,democrat
114,democrat
332,democrat
394,democrat
316,democrat
200,democrat
147,democrat
380,democrat
105,democrat
36,democrat
48,democrat
176,democrat
403,democrat
366,democrat
275,democrat
264,democrat
273,democrat
242,democrat
5,democrat
40,democrat
348,democrat
66,democrat
123,democrat
337,democrat
158,democrat
361,democrat
160,democrat
244,democrat
41,democrat
299,democrat
322,democrat
186,democrat
60,democrat
138,democrat
63,democrat
170,democrat
45,democrat
309,democrat
167,democrat
313,democrat
183,democrat
379,democrat
110,democrat
18,democrat
404,democrat
325,democrat
259,democrat
262,democrat
282,democrat
154,democrat
347,democrat
318,democrat
42,democrat
402,democrat
293,democrat
136,democrat
378,democrat
365,democrat
405,democrat
71,democrat
320,democrat
184,democrat
358,democrat
400,democrat
425,democrat
258,democrat
6,democrat
356,democrat
163,democrat
187,democrat
78,democrat
161,democrat
182,democrat
266,democrat
381,democrat
178,democrat
109,democrat
330,democrat
323,democrat
207,democrat
374,democrat
240,democrat
395,democrat
406,democrat
270,democrat
194,democrat
369,democrat
2,democrat
220,democrat
43,democrat
8,democrat
334,democrat
434,democrat
19,democrat
432,democrat
122,democrat
368,democrat
101,democrat
74,democrat
205,democrat
387,democrat
39,democrat
85,democrat
269,democrat
16,democrat
55,democrat
15,democrat
235,democrat
171,democrat
140,democrat
206,democrat
153,democrat
12,democrat
34,democrat
211,democrat
367,democrat
51,democrat
1,democrat
312,democrat
239,democrat
251,democrat
179,democrat
190,democrat
149,democrat
31,democrat
169,democrat
148,democrat
195,democrat
303,democrat
384,democrat
61,democrat
29,democrat
214,democrat
107,democrat
80,democrat
254,democrat
414,democrat
196,democrat
37,democrat
408,democrat
412,democrat
79,democrat
164,democrat
143,democrat
413,democrat
111,democrat
116,democrat
181,democrat
278,democrat
353,democrat
88,democrat
418,democrat
4,democrat
284,democrat
247,democrat
308,democrat
289,democrat
210,democrat
357,democrat
17,democrat
159,democrat
177,democrat
106,democrat
300,democrat
360,democrat
180,democrat
99,democrat
166,democrat
108,democrat
373,democrat
376,democrat
428,democrat
342,democrat
426,democrat
335,democrat
286,democrat
112,democrat
296,democrat
49,democrat
265,democrat
119,democrat
393,democrat
389,democrat
